9.0,狮子王,1994,美国,剧情动画冒险歌舞家庭,RogerAllers/罗伯·明可夫RobMinkoff 乔纳森·泰勒·托马...,动物版《哈姆雷特》。,403267
8.9,美丽心灵,2001,美国,传记剧情,朗·霍华德RonHoward 罗素·克劳RussellCrowe/艾德·哈...,爱是一切逻辑和原由。,413071
8.9,情书,1995,日本,剧情爱情,岩井俊二ShunjiIwai 中山美穗MihoNakayama/丰川悦司Ets...,暗恋的极致。,513579
9.1,钢琴家,2002,法国德国英国波兰,剧情传记历史战争音乐,罗曼·波兰斯基RomanPolanski 艾德里安·布洛迪AdrienBrod...,音乐能化解仇恨。,272441
8.8,本杰明·巴顿奇事,2008,美国,剧情爱情奇幻,大卫·芬奇DavidFincher 凯特·布兰切特CateBlanchett/...,在时间之河里感受溺水之苦。,538801
9.1,美国往事,1984,意大利美国,犯罪剧情,赛尔乔·莱翁内SergioLeone 罗伯特·德尼罗RobertDeNiro...,往事如烟，无处祭奠。,233429
8.8,看不见的客人,2016,西班牙,剧情犯罪悬疑惊悚,奥里奥尔·保罗OriolPaulo 马里奥·卡萨斯MarioCasas/阿...,你以为你以为的就是你以为的。,572907
8.9,黑客帝国,1999,美国澳大利亚,动作科幻,安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski 主...,视觉革命。,403134
9.2,小鞋子,1997,伊朗,剧情儿童家庭,马基德·马基迪MajidMajidi 法拉赫阿米尔·哈什米安AmirFa...,奔跑的孩子是天使。,200025
8.8,西西里的美丽传说,2000,意大利美国,剧情战争情色,朱塞佩·托纳多雷GiuseppeTornatore 莫妮卡·贝鲁奇Monica...,美丽无罪。,510020
9.3,大闹天宫,1961/1964/1978/2004,中国大陆,动画奇幻,万籁鸣LaimingWan/唐澄ChengTang 邱岳峰YuefengQiu/...,经典之作，历久弥新。,166848
8.9,哈利·波特与魔法石,2001,美国英国,奇幻冒险,ChrisColumbus DanielRadcliffe/EmmaWatson/RupertGrint,童话世界的开端。,422707
8.7,让子弹飞,2010,中国大陆香港,剧情喜剧动作西部,姜文WenJiang 姜文WenJiang/葛优YouGe/周润发Yun-F...,你给我翻译翻译，神马叫做TMD的惊喜。,878558
8.9,拯救大兵瑞恩,1998,美国,剧情历史战争,史蒂文·斯皮尔伯格StevenSpielberg 汤姆·汉克斯TomHanks...,美利坚精神输出大片No1.,343640
